Risorsa,Area di produzione, Costo orario (€/h) 
RIS1,A10, 51.00 
RIS1,A11, 51.00 
RIS1,A20, 68.00 
RIS1,A30, 68.00 
RIS1,A32, 51.00 
RIS1,A33, 51.00 
RIS1,A40, 51.00 
RIS10,A30, 51.00 
RIS11,A10, 42.50 
RIS11,A20, 51.00 
RIS11,A30, 51.00 
RIS11,A40, 42.50 
RIS12,A10, 51.00 
RIS12,A11, 51.00 
RIS12,A12, 42.50 
RIS12,A20, 68.00 
RIS12,A30, 68.00 
RIS12,A32, 51.00 
RIS12,A35, 42.50 
RIS12,A40, 42.50 
RIS13,A10, 42.50 
RIS13,A11, 42.50 
RIS13,A20, 68.00 
RIS13,A30, 68.00 
RIS13,A32, 42.50 
RIS13,A33, 42.50 
RIS13,A34, 42.50 
RIS13,A35, 42.50 
RIS13,A36, 42.50 
RIS13,A40, 42.50 
RIS14,A10, 42.50 
RIS14,A11, 42.50 
RIS14,A20, 51.00 
RIS14,A30, 42.50 
RIS14,A32, 51.00 
RIS14,A33, 51.00 
RIS14,A34, 51.00 
RIS14,A40, 51.00 
RIS16,CQ, 12.75 
RIS18,A05, 51.00 
RIS18,A10, 51.00 
RIS18,A30, 51.00 
RIS2,A10, 51.00 
RIS2,A11, 51.00 
RIS2,A20, 68.00 
RIS2,A30, 51.00 
RIS2,A33, 42.50 
RIS2,A40, 42.50 
RIS3,A10, 42.50 
RIS3,A11, 42.50 
RIS3,A12, 42.50 
RIS3,A30, 42.50 
RIS3,A40, 42.50 
RIS4,A10, 42.50 
RIS4,A20, 51.00 
RIS4,A30, 51.00 
RIS4,A33, 42.50 
RIS4,A40, 42.50 
RIS4,A41, 42.50 
RIS5,A20, 51.00 
RIS5,A30, 42.50 
RIS6,A20, 51.00 
RIS6,A30, 42.50 
RIS7,A20, 68.00 
RIS7,A30, 51.00 
RIS9,A11, 42.50 
RIS9,A20, 68.00 
RIS9,A30, 42.50 
RIS9,A32, 42.50 
RIS9,A40, 42.50 
