Risorsa,Area di produzione,Costo orario (€/h)
RIS1,A10,60.00
RIS1,A11,60.00
RIS1,A20,80.00
RIS1,A30,80.00
RIS1,A32,60.00
RIS1,A33,60.00
RIS1,A40,60.00
RIS10,A30,60.00
RIS11,A10,50.00
RIS11,A20,60.00
RIS11,A30,60.00
RIS11,A40,50.00
RIS12,A10,60.00
RIS12,A11,60.00
RIS12,A12,50.00
RIS12,A20,80.00
RIS12,A30,80.00
RIS12,A32,60.00
RIS12,A35,50.00
RIS12,A40,50.00
RIS13,A10,50.00
RIS13,A11,50.00
RIS13,A20,80.00
RIS13,A30,80.00
RIS13,A32,50.00
RIS13,A33,50.00
RIS13,A34,50.00
RIS13,A35,50.00
RIS13,A36,50.00
RIS13,A40,50.00
RIS14,A10,50.00
RIS14,A11,50.00
RIS14,A20,60.00
RIS14,A30,50.00
RIS14,A32,60.00
RIS14,A33,60.00
RIS14,A34,60.00
RIS14,A40,60.00
RIS16,CQ,15.00
RIS18,A05,60.00
RIS18,A10,60.00
RIS18,A30,60.00
RIS2,A10,60.00
RIS2,A11,60.00
RIS2,A20,80.00
RIS2,A30,60.00
RIS2,A33,50.00
RIS2,A40,50.00
RIS3,A10,50.00
RIS3,A11,50.00
RIS3,A12,50.00
RIS3,A30,50.00
RIS3,A40,50.00
RIS4,A10,50.00
RIS4,A20,60.00
RIS4,A30,60.00
RIS4,A33,50.00
RIS4,A40,50.00
RIS4,A41,50.00
RIS5,A20,60.00
RIS5,A30,50.00
RIS6,A20,60.00
RIS6,A30,50.00
RIS7,A20,80.00
RIS7,A30,60.00
RIS9,A11,50.00
RIS9,A20,80.00
RIS9,A30,50.00
RIS9,A32,50.00
RIS9,A40,50.00
